adult_weekday,adult_weekend,average_snowfall,base_elev,daysopenlast_year,double,fast_quads,fast_sixes,longest_run_mi,name,night_skiing_ac,projecteddays_open,quad,region,runs,skiable_terrain_ac,snow_making_ac,state,summit_elev,surface,terrain_parks_resort,total_chairs,trams,triple,vertical_drop,years_open,price_delta,resort_cnt,skiable_area_ac,days_open,terrain_parks_state,nightskiing_ac,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
125.0,125.0,500.0,6883,151.0,0,5,0,3.0,sugar_bowl_resort,,150.0,3,sierra_nevada,105.0,1650.0,375.0,california,8383,2,3.0,12,1,1,1500,80.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.06358871589332511,0.05514974433893353,0.037037037037037035,,0.11428571428571428,0.007272727272727273,0.047619047619047616,0.0030303030303030303
69.0,69.0,400.0,6750,150.0,0,0,0,1.0,tahoe_donner,,144.0,1,sierra_nevada,14.0,120.0,,california,7350,3,2.0,5,0,1,600,48.0,0.0,21,25948.0,2738.0,81.0,587.0,0.05314811064920341,12.828736369467608,0.004624633883150917,0.0547845142439737,0.024691358024691357,,0.35714285714285715,0.041666666666666664,0.0,0.0
85.0,85.0,350.0,10780,230.0,2,1,0,1.5,arapahoe_basin_ski_area,,233.0,2,colorado,145.0,1428.0,125.0,colorado,13050,3,3.0,9,0,1,2530,73.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.032690810860308596,0.07059545733578883,0.04054054054054054,,0.06206896551724138,0.0063025210084033615,0.006896551724137931,0.0007002801120448179
179.0,179.0,300.0,8104,138.0,5,15,1,5.3,aspen_/_snowmass,,138.0,4,colorado,336.0,5517.0,658.0,colorado,12510,9,10.0,40,3,3,4406,72.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.12629916212627626,0.0423572744014733,0.13513513513513514,,0.11904761904761904,0.0072503172013775605,0.044642857142857144,0.0027188689505165853
158.0,158.0,300.0,9712,164.0,4,4,2,1.7,copper_mountain_resort,,164.0,0,colorado,150.0,2527.0,364.0,colorado,12313,9,6.0,24,1,4,2738,47.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.05784991529691864,0.05033763044812769,0.08108108108108109,,0.16,0.009497427779976256,0.02666666666666667,0.0015829046299960427
89.0,89.0,260.0,8793,130.0,3,2,1,1.3,purgatory,,130.0,0,colorado,101.0,1605.0,250.0,colorado,10822,3,9.0,12,0,3,2029,54.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.03674282313080903,0.03990178023327195,0.12162162162162163,,0.1188118811881188,0.007476635514018692,0.019801980198019802,0.0012461059190031153
25.0,25.0,150.0,6696,100.0,1,0,0,6.0,howelsen_hill,10.0,100.0,0,colorado,17.0,50.0,25.0,colorado,7136,3,1.0,4,0,0,440,104.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.0011446362346046427,0.030693677102516883,0.013513513513513514,0.02336448598130841,0.23529411764705882,0.08,0.0,0.0
79.0,79.0,422.0,10800,205.0,2,1,0,2.0,loveland,,184.0,3,colorado,94.0,1800.0,240.0,colorado,13010,1,1.0,10,0,3,2210,82.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.041206904445767134,0.06292203806015961,0.013513513513513514,,0.10638297872340426,0.005555555555555556,0.010638297872340425,0.0005555555555555556
89.0,89.0,350.0,10790,143.0,4,0,0,1.0,monarch_mountain,,136.0,1,colorado,64.0,800.0,,colorado,11952,2,2.0,7,0,0,1162,80.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.018314179753674283,0.04389195825659914,0.02702702702702703,,0.109375,0.00875,0.0,0.0
71.0,71.0,250.0,8200,111.0,2,1,0,1.5,powderhorn,,110.0,0,colorado,42.0,1600.0,42.0,colorado,9850,2,2.0,5,0,0,1650,53.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.036628359507348565,0.03406998158379374,0.02702702702702703,,0.11904761904761904,0.003125,0.023809523809523808,0.000625
79.0,79.0,400.0,10400,175.0,1,0,0,1.5,silverton_mountain,,181.0,0,colorado,,1819.0,,colorado,13487,0,,1,0,0,3087,17.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.041641866214916896,0.053713934929404544,,,,0.0005497526113249038,,0.0
56.0,56.0,260.0,10500,130.0,1,0,0,1.0,cooper,,130.0,0,colorado,41.0,400.0,,colorado,11700,2,1.0,4,0,1,1200,74.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.009157089876837141,0.03990178023327195,0.013513513513513514,,0.0975609756097561,0.01,0.0,0.0
84.0,84.0,220.0,8202,116.0,1,2,0,0.6,ski_granby_ranch,100.0,92.0,0,colorado,40.0,406.0,170.0,colorado,9202,1,1.0,5,0,1,1000,36.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.009294446224989698,0.03560466543891958,0.013513513513513514,0.2336448598130841,0.125,0.012315270935960592,0.05,0.0049261083743842365
65.0,65.0,250.0,7885,100.0,2,0,0,2.5,sunlight_mountain_resort,,135.0,0,colorado,67.0,680.0,30.0,colorado,9895,0,1.0,3,0,1,2010,53.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.01556705279062314,0.030693677102516883,0.013513513513513514,,0.04477611940298507,0.004411764705882353,0.0,0.0
139.0,139.0,280.0,8725,131.0,2,6,0,4.6,telluride,,137.0,1,colorado,148.0,2000.0,220.0,colorado,13150,4,3.0,17,2,2,4425,47.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.0457854493841857,0.040208717004297116,0.04054054054054054,,0.11486486486486487,0.0085,0.04054054054054054,0.003
72.0,72.0,430.0,10300,130.0,1,3,0,2.0,wolf_creek_ski_area,,150.0,1,colorado,120.0,1600.0,5.0,colorado,11904,3,,10,0,2,1604,80.0,0.0,22,43682.0,3258.0,74.0,428.0,0.3820282784277661,21.13474359713336,0.036628359507348565,0.03990178023327195,,,0.08333333333333333,0.00625,0.025,0.001875
30.0,65.0,92.0,950,,0,0,0,1.5,mohawk_mountain,64.0,110.0,0,connecticut,25.0,107.0,100.0,connecticut,1600,3,,8,0,5,650,72.0,35.0,5,358.0,353.0,10.0,256.0,0.14024151833321272,90.20386072523904,0.2988826815642458,,,0.25,0.32,0.07476635514018691,0.0,0.0
60.0,60.0,80.0,100,63.0,2,0,0,0.3,mount_southington_ski_area,51.0,95.0,0,connecticut,14.0,51.0,51.0,connecticut,525,3,2.0,7,0,2,425,55.0,0.0,5,358.0,353.0,10.0,256.0,0.14024151833321272,90.20386072523904,0.1424581005586592,0.17847025495750707,0.2,0.19921875,0.5,0.13725490196078433,0.0,0.0
45.0,55.0,80.0,170,80.0,2,0,0,0.5,powder_ridge_park,40.0,100.0,0,connecticut,19.0,80.0,68.0,connecticut,720,2,4.0,5,0,1,550,60.0,10.0,5,358.0,353.0,10.0,256.0,0.14024151833321272,90.20386072523904,0.22346368715083798,0.22662889518413598,0.4,0.15625,0.2631578947368421,0.0625,0.0,0.0
62.0,62.0,45.0,450,84.0,0,0,0,1.0,ski_sundown,66.0,95.0,0,connecticut,16.0,70.0,70.0,connecticut,1075,2,2.0,5,0,3,625,50.0,0.0,5,358.0,353.0,10.0,256.0,0.14024151833321272,90.20386072523904,0.19553072625698323,0.23796033994334279,0.2,0.2578125,0.3125,0.07142857142857142,0.0,0.0
42.0,42.0,70.0,430,126.0,1,0,0,0.2,woodbury_ski_area,35.0,180.0,0,connecticut,12.0,50.0,50.0,connecticut,730,4,2.0,5,0,0,300,57.0,0.0,5,358.0,353.0,10.0,256.0,0.14024151833321272,90.20386072523904,0.13966480446927373,0.35694050991501414,0.2,0.13671875,0.4166666666666667,0.1,0.0,0.0
64.0,64.0,250.0,5800,134.0,3,3,0,1.5,bogus_basin,165.0,130.0,0,idaho,91.0,2600.0,,idaho,7582,4,3.0,11,0,1,1800,77.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.15857526225908758,0.11795774647887323,0.1111111111111111,0.39759036144578314,0.12087912087912088,0.004230769230769231,0.03296703296703297,0.001153846153846154
70.0,70.0,320.0,5840,126.0,0,1,0,3.2,brundage_mountain_resort,,,0,idaho,51.0,1920.0,2.0,idaho,7640,1,2.0,6,0,4,1800,58.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.11710173212978775,0.11091549295774648,0.07407407407407407,,0.11764705882352941,0.003125,0.0196078431372549,0.0005208333333333333
44.0,47.0,400.0,4500,113.0,3,0,0,1.5,lookout_pass_ski_area,,140.0,0,idaho,35.0,540.0,,idaho,5650,0,2.0,4,0,1,1150,84.0,3.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.032934862161502806,0.0994718309859155,0.07407407407407407,,0.11428571428571428,0.007407407407407408,0.0,0.0
32.0,32.0,180.0,6500,65.0,1,0,0,1.5,magic_mountain_ski_area,,70.0,0,idaho,11.0,280.0,,idaho,7200,2,,3,0,0,700,81.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.017077335935594046,0.05721830985915493,,,0.2727272727272727,0.010714285714285714,0.0,0.0
47.0,47.0,250.0,6360,85.0,0,0,0,1.3,pebble_creek_ski_area,30.0,91.0,0,idaho,54.0,1100.0,30.0,idaho,8560,0,2.0,3,0,3,2200,70.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.0670895340326909,0.07482394366197183,0.07407407407407407,0.07228915662650602,0.05555555555555555,0.0027272727272727275,0.0,0.0
81.0,81.0,300.0,4000,136.0,3,2,1,2.1,schweitzer,100.0,,0,idaho,92.0,2900.0,47.0,idaho,6400,2,3.0,9,0,1,2400,56.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.17687240790436692,0.11971830985915492,0.1111111111111111,0.24096385542168675,0.09782608695652174,0.003103448275862069,0.021739130434782608,0.000689655172413793
57.0,62.0,300.0,4100,130.0,2,0,0,2.5,silver_mountain,20.0,193.0,1,idaho,80.0,1600.0,225.0,idaho,6300,1,2.0,7,1,2,2200,29.0,5.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.09758477677482313,0.11443661971830986,0.07407407407407407,0.04819277108433735,0.0875,0.004375,0.0,0.0
43.0,43.0,,5800,60.0,2,0,0,0.4,soldier_mountain_ski_area,,,0,idaho,36.0,1142.0,,idaho,7200,1,,3,0,0,1400,71.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.06965113442303,0.0528169014084507,,,0.08333333333333333,0.002626970227670753,0.0,0.0
71.0,71.0,300.0,4900,,0,2,0,1.5,tamarack_resort,,150.0,2,idaho,48.0,1020.0,200.0,idaho,7700,2,3.0,6,0,0,2800,15.0,0.0,12,16396.0,1136.0,27.0,415.0,0.6714920833881253,14.359391640440833,0.062210295193949744,,0.1111111111111111,,0.125,0.0058823529411764705,0.041666666666666664,0.00196078431372549
40.0,55.0,50.0,565,87.0,0,0,0,0.2,chestnut_mountain_resort,139.0,112.0,2,illinois,22.0,139.0,139.0,illinois,1040,3,3.0,9,0,4,475,60.0,15.0,4,191.0,221.0,6.0,191.0,0.03156610245678186,6.906792830749041,0.7277486910994765,0.3936651583710407,0.5,0.7277486910994765,0.4090909090909091,0.06474820143884892,0.0,0.0
25.0,35.0,38.0,528,56.0,2,0,0,0.8,ski_snowstar_winter_sports_park,28.0,86.0,2,illinois,15.0,28.0,28.0,illinois,790,2,1.0,6,0,0,262,38.0,10.0,4,191.0,221.0,6.0,191.0,0.03156610245678186,6.906792830749041,0.14659685863874344,0.25339366515837103,0.16666666666666666,0.14659685863874344,0.4,0.21428571428571427,0.0,0.0
40.0,40.0,25.0,320,,0,0,0,0.1,villa_olivia,15.0,70.0,1,illinois,7.0,15.0,15.0,illinois,500,6,1.0,7,0,0,180,53.0,0.0,4,191.0,221.0,6.0,191.0,0.03156610245678186,6.906792830749041,0.07853403141361257,,0.16666666666666666,0.07853403141361257,1.0,0.4666666666666667,0.0,0.0
38.0,45.0,18.0,600,75.0,1,1,0,0.4,paoli_peaks,65.0,80.0,1,indiana,15.0,65.0,65.0,indiana,900,2,2.0,8,0,3,300,41.0,7.0,2,165.0,157.0,4.0,165.0,0.02970788680522722,5.491488193300384,0.3939393939393939,0.47770700636942676,0.5,0.3939393939393939,0.5333333333333333,0.12307692307692308,0.06666666666666667,0.015384615384615385
52.0,52.0,24.0,400,82.0,0,0,0,1.0,perfect_north_slopes,100.0,90.0,2,indiana,23.0,100.0,100.0,indiana,800,6,2.0,11,0,3,400,39.0,0.0,2,165.0,157.0,4.0,165.0,0.02970788680522722,5.491488193300384,0.6060606060606061,0.5222929936305732,0.5,0.6060606060606061,0.4782608695652174,0.11,0.0,0.0
29.0,39.0,30.0,1200,,1,0,0,0.2,mt._crescent_ski_area,50.0,,1,iowa,11.0,50.0,50.0,iowa,1500,0,1.0,2,0,0,300,58.0,10.0,3,140.0,100.0,5.0,140.0,0.0950850535804277,5.3311534839088015,0.35714285714285715,,0.2,0.35714285714285715,0.18181818181818182,0.04,0.0,0.0
40.0,40.0,40.0,800,100.0,0,0,0,1.0,seven_oaks,35.0,100.0,0,iowa,11.0,35.0,35.0,iowa,975,2,2.0,4,0,2,275,22.0,0.0,3,140.0,100.0,5.0,140.0,0.0950850535804277,5.3311534839088015,0.25,1.0,0.4,0.25,0.36363636363636365,0.11428571428571428,0.0,0.0
38.0,46.0,45.0,584,,2,0,0,0.6,sundown_mountain,55.0,,1,iowa,21.0,55.0,55.0,iowa,1059,2,2.0,6,0,1,475,46.0,8.0,3,140.0,100.0,5.0,140.0,0.0950850535804277,5.3311534839088015,0.39285714285714285,,0.4,0.39285714285714285,0.2857142857142857,0.10909090909090909,0.0,0.0
30.0,30.0,,1750,67.0,0,0,0,0.8,big_squaw_mountain_ski_resort,,58.0,0,maine,29.0,,,maine,3200,0,,1,0,1,660,6.0,0.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,,0.07745664739884393,,,0.034482758620689655,,0.0,
33.0,43.0,69.0,150,68.0,1,0,0,1.0,camden_snow_bowl,48.0,70.0,0,maine,26.0,100.0,48.0,maine,1080,1,2.0,3,0,1,850,83.0,10.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.03109452736318408,0.07861271676300578,0.11764705882352941,0.12371134020618557,0.11538461538461539,0.03,0.0,0.0
29.0,55.0,50.0,255,87.0,2,0,0,0.3,lost_valley,45.0,104.0,0,maine,22.0,45.0,45.0,maine,495,2,2.0,4,0,0,240,58.0,26.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.013992537313432836,0.10057803468208093,0.11764705882352941,0.11597938144329897,0.18181818181818182,0.08888888888888889,0.0,0.0
29.0,49.0,125.0,1050,120.0,2,0,0,0.5,mt._abram_ski_resort,,120.0,0,maine,54.0,640.0,175.0,maine,2250,3,1.0,5,0,0,1150,59.0,20.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.19900497512437812,0.13872832369942195,0.058823529411764705,,0.09259259259259259,0.0078125,0.0,0.0
32.0,32.0,90.0,100,102.0,1,0,0,1.9,new_hermon_mountain,45.0,117.0,0,maine,20.0,70.0,70.0,maine,450,2,,3,0,0,350,55.0,0.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.021766169154228857,0.11791907514450867,,0.11597938144329897,0.15,0.04285714285714286,0.0,0.0
55.0,75.0,110.0,600,97.0,1,0,0,0.8,shawnee_peak,110.0,103.0,1,maine,43.0,239.0,234.0,maine,1900,2,3.0,6,0,2,1350,81.0,20.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.07431592039800995,0.11213872832369942,0.17647058823529413,0.28350515463917525,0.13953488372093023,0.02510460251046025,0.0,0.0
99.0,99.0,200.0,1417,159.0,5,2,0,3.5,sugarloaf,,155.0,3,maine,162.0,1240.0,618.0,maine,4237,2,4.0,13,0,1,2820,68.0,0.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.3855721393034826,0.1838150289017341,0.23529411764705882,,0.08024691358024691,0.010483870967741936,0.012345679012345678,0.0016129032258064516
105.0,105.0,167.0,800,165.0,1,4,0,3.0,sunday_river,140.0,169.0,5,maine,135.0,870.0,552.0,maine,3140,1,5.0,15,1,3,2340,60.0,0.0,9,3216.0,865.0,17.0,388.0,0.6695372456130432,25.438100621820237,0.27052238805970147,0.1907514450867052,0.29411764705882354,0.36082474226804123,0.1111111111111111,0.017241379310344827,0.02962962962962963,0.004597701149425287
59.0,79.0,100.0,2415,121.0,0,0,0,1.5,wisp,118.0,120.0,2,maryland,34.0,172.0,118.0,maryland,3115,5,3.0,12,0,5,700,64.0,20.0,1,172.0,121.0,3.0,118.0,0.016540736525916026,8.060615831049493,1.0,1.0,1.0,1.0,0.35294117647058826,0.06976744186046512,0.0,0.0
48.0,68.0,120.0,540,120.0,1,0,0,2.0,berkshire_east,80.0,120.0,2,massachusetts,47.0,180.0,165.0,massachusetts,1720,2,2.0,6,0,1,1180,68.0,20.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.15437392795883362,0.17883755588673622,0.1111111111111111,0.137221269296741,0.1276595744680851,0.03333333333333333,0.0,0.0
20.0,45.0,50.0,1035,,3,0,0,0.5,blandford_ski_area,70.0,,0,massachusetts,29.0,132.0,70.0,massachusetts,1685,2,2.0,5,0,0,465,83.0,25.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.11320754716981132,,0.1111111111111111,0.12006861063464837,0.1724137931034483,0.03787878787878788,0.0,0.0
40.0,45.0,,326,,1,0,0,,blue_hills_ski_area,,,0,massachusetts,16.0,60.0,60.0,massachusetts,635,3,1.0,4,0,0,309,19.0,5.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.051457975986277875,,0.05555555555555555,,0.25,0.06666666666666667,0.0,0.0
25.0,49.0,83.0,1125,,3,0,0,1.0,bousquet_ski_area,100.0,,0,massachusetts,23.0,200.0,98.0,massachusetts,1875,2,1.0,5,0,0,750,19.0,24.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.17152658662092624,,0.05555555555555555,0.17152658662092624,0.21739130434782608,0.025,0.0,0.0
37.0,55.0,,1300,,0,0,0,0.3,bradford_ski_area,,,0,massachusetts,15.0,48.0,48.0,massachusetts,1548,8,1.0,10,0,2,248,71.0,18.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.0411663807890223,,0.05555555555555555,,0.6666666666666666,0.20833333333333334,0.0,0.0
81.0,81.0,90.0,1230,121.0,1,0,1,2.0,jiminy_peak,104.0,120.0,2,massachusetts,45.0,167.0,163.0,massachusetts,2380,2,3.0,9,0,3,1150,71.0,0.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.1432246998284734,0.18032786885245902,0.16666666666666666,0.1783876500857633,0.2,0.05389221556886228,0.0,0.0
48.0,58.0,55.0,200,112.0,1,0,0,0.5,nashoba_valley,52.0,126.0,0,massachusetts,17.0,52.0,52.0,massachusetts,440,7,2.0,11,0,3,240,55.0,10.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.044596912521440824,0.16691505216095381,0.1111111111111111,0.08919382504288165,0.6470588235294118,0.21153846153846154,0.0,0.0
20.0,40.0,70.0,1300,106.0,1,0,0,1.0,otis_ridge_ski_area,35.0,106.0,0,massachusetts,11.0,60.0,55.0,massachusetts,1700,3,1.0,4,0,0,400,73.0,20.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.051457975986277875,0.15797317436661698,0.05555555555555555,0.060034305317324184,0.36363636363636365,0.06666666666666667,0.0,0.0
25.0,60.0,115.0,800,107.0,1,0,0,1.5,ski_butternut,,110.0,3,massachusetts,22.0,110.0,110.0,massachusetts,1800,6,2.0,11,0,1,1000,56.0,35.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.09433962264150944,0.15946348733233978,0.1111111111111111,,0.5,0.1,0.0,0.0
65.0,71.0,100.0,1006,,0,3,0,1.5,wachusett_mountain_ski_area,104.0,120.0,0,massachusetts,27.0,112.0,112.0,massachusetts,2006,4,2.0,8,0,1,1000,57.0,6.0,11,1166.0,671.0,18.0,583.0,0.1595936918707181,104.22588592003032,0.09605488850771869,,0.1111111111111111,0.1783876500857633,0.2962962962962963,0.07142857142857142,0.1111111111111111,0.026785714285714284
39.0,47.0,20.0,126,,5,0,0,0.2,alpine_valley_ski_area,100.0,,1,michigan,25.0,100.0,100.0,michigan,500,6,3.0,14,0,2,240,57.0,8.0,28,4406.0,2389.0,63.0,1946.0,0.28036848830417815,28.951341067477305,0.022696323195642305,,0.047619047619047616,0.051387461459403906,0.56,0.14,0.0,0.0
